epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0773,0,45.5876,0,0,0,0,0,0,88.1244,0,0.0991,0.0001,0.0001
2,33.8115,0,32.1361,0,0,0,0,0,0,63.8771,0,0.0972997,0.000299707,0.000299707
3,48.8512,0,22.7524,0,0,0,0,0,0,46.5833,0,0.095498,0.000498048,0.000498048
4,64.2651,0,16.1134,0,0,0,0,0,0,33.9644,0,0.0936939,0.000693863,0.000693863
5,79.5783,0,12.0241,0,0,0,0,0,0,28.8885,0,0.091886,0.000886004,0.000886004
6,95.3088,0,10.0576,0,0,0,0,0,0,24.46,0,0.0900734,0.00107335,0.00107335
7,111.611,0,8.38648,0,0,0,0,0,0,20.6598,0,0.0882548,0.00125481,0.00125481
8,127.913,0,6.97123,0,0,0,0,0,0,17.3958,0,0.0864293,0.00142933,0.00142933
9,143.552,0,5.76817,0,0,0,0,0,0,14.5857,0,0.0845959,0.00159591,0.00159591
10,158.984,0,4.74103,0,0,0,0,0,0,12.1441,0,0.0827536,0.00175359,0.00175359
11,174.251,0,3.86721,0,0,0,0,0,0,9.92098,0,0.0809015,0.00190147,0.00190147
12,189.214,0,3.11554,0,0,0,0,0,0,9.92098,0,0.0790387,0.00203873,0.00203873
13,204.16,0,2.91697,0,0,0,0,0,0,7.92892,0,0.0771646,0.0021646,0.0021646
14,219.233,0,2.49792,0,0,0,0,0,0,5.85976,0,0.0752784,0.0022784,0.0022784
15,234.256,0,1.96932,0,0,0,0,0,0,5.85976,0,0.0733795,0.00237952,0.00237952
16,249.627,0,1.82443,0,0,0,0,0,0,4.04036,0,0.0714675,0.00246746,0.00246746
17,264.785,0,1.53933,0,0,0,0,0,0,3.19781,0,0.0695418,0.00254177,0.00254177
18,280.674,0,1.18371,0,0,0,0,0,0,3.19781,0,0.0676021,0.00260214,0.00260214
