epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7442,1.73371,2.57356,2.05249,0.456,0.25862,0.33957,0.1203,1.7837,3.26341,3.06988,0.000650407,0.000650407,0.000650407
2,29.1301,1.63061,2.17412,1.99703,0.35935,0.4023,0.26211,0.06656,2.38062,3.69849,6.55606,0.00131447,0.00131447,0.00131447
3,42.2881,1.66217,1.97578,1.99855,0.14637,0.37447,0.14558,0.04398,2.18309,9.37484,3.27882,0.00197588,0.00197588,0.00197588
4,54.8275,1.67611,1.83944,2.01029,0.50192,0.65517,0.50494,0.16125,2.14574,2.47957,3.2513,0.00198812,0.00198812,0.00198812
5,67.5869,1.66427,1.76393,1.99034,0.29135,0.25287,0.18763,0.04215,3.41425,2.40951,4.41022,0.00198416,0.00198416,0.00198416
6,80.242,1.64886,1.6671,1.95962,0.11891,0.1954,0.07154,0.01542,2.57184,3.0773,3.82696,0.0019802,0.0019802,0.0019802
7,93.1121,1.63301,1.64401,1.95942,0.08287,0.14368,0.07022,0.02087,2.27338,3.09977,3.17935,0.00197624,0.00197624,0.00197624
8,105.657,1.61019,1.55401,1.93452,0.37252,0.62069,0.37013,0.13563,1.87165,3.26942,2.57859,0.00197228,0.00197228,0.00197228
9,118.161,1.65409,1.59595,1.97148,0.43226,0.53448,0.38211,0.12662,2.22475,2.1612,2.878,0.00196832,0.00196832,0.00196832
10,130.718,1.6063,1.57347,1.90481,0.6921,0.68467,0.70378,0.24814,2.13673,1.50568,2.94293,0.00196436,0.00196436,0.00196436
11,143.197,1.62491,1.55403,1.94417,0.53629,0.51724,0.50402,0.14702,2.43405,2.24177,3.45388,0.0019604,0.0019604,0.0019604
12,155.675,1.58039,1.51726,1.90721,0.50228,0.45977,0.40521,0.10426,2.75886,2.2761,4.20387,0.00195644,0.00195644,0.00195644
13,168.133,1.55904,1.42038,1.86828,0.52753,0.56322,0.48275,0.15679,2.22597,2.41063,3.12866,0.00195248,0.00195248,0.00195248
14,180.595,1.57115,1.48943,1.89604,0.75919,0.59792,0.66034,0.23816,2.06534,1.82178,2.86649,0.00194852,0.00194852,0.00194852
15,193.112,1.57712,1.41822,1.88753,0.80822,0.72414,0.81983,0.34648,1.93348,1.27653,2.6467,0.00194456,0.00194456,0.00194456
16,205.684,1.54776,1.37289,1.86493,0.54187,0.49425,0.39395,0.1171,2.53795,2.49405,3.96781,0.0019406,0.0019406,0.0019406
17,217.991,1.54036,1.41077,1.85019,0.39764,0.43678,0.24257,0.06716,2.71201,2.40106,4.12927,0.00193664,0.00193664,0.00193664
18,230.41,1.54292,1.40594,1.85173,0.92165,0.77586,0.87043,0.3983,1.81106,1.1122,2.55801,0.00193268,0.00193268,0.00193268
19,242.905,1.54219,1.39319,1.84553,0.73583,0.62644,0.66095,0.22059,2.29903,1.64612,3.32259,0.00192872,0.00192872,0.00192872
20,255.341,1.52271,1.37849,1.85069,0.79302,0.70464,0.76002,0.33221,1.91135,1.28535,2.59588,0.00192476,0.00192476,0.00192476
21,268.048,1.56102,1.35756,1.87927,0.70073,0.74011,0.74987,0.3093,2.01482,1.31796,2.68125,0.0019208,0.0019208,0.0019208
22,280.73,1.52904,1.35954,1.84553,0.82648,0.60223,0.58862,0.21181,2.27773,1.56625,3.23532,0.00191684,0.00191684,0.00191684
23,293.326,1.53001,1.35373,1.82717,0.83796,0.72414,0.77441,0.29729,2.06917,1.21364,2.85059,0.00191288,0.00191288,0.00191288
24,306.052,1.49143,1.33093,1.82668,0.832,0.77011,0.84984,0.42477,1.7664,1.133,2.48453,0.00190892,0.00190892,0.00190892
25,318.498,1.52965,1.35774,1.85056,0.81733,0.78161,0.86106,0.41704,1.67374,1.14557,2.40291,0.00190496,0.00190496,0.00190496
26,330.897,1.46842,1.30163,1.79077,0.77923,0.77011,0.79123,0.34413,1.94597,1.18597,2.64684,0.001901,0.001901,0.001901
27,343.378,1.50664,1.30823,1.81329,0.876,0.81609,0.89437,0.40766,1.81585,1.03977,2.53616,0.00189704,0.00189704,0.00189704
28,355.957,1.49404,1.31598,1.8134,0.90926,0.66667,0.77539,0.33836,2.01398,1.36575,2.79442,0.00189308,0.00189308,0.00189308
29,368.771,1.48627,1.321,1.82065,0.80629,0.71766,0.77643,0.33994,2.05214,1.43493,2.7641,0.00188912,0.00188912,0.00188912
30,381.187,1.48114,1.33674,1.8046,0.73365,0.68071,0.70855,0.32417,1.90337,1.94868,2.6918,0.00188516,0.00188516,0.00188516
31,393.599,1.48738,1.3045,1.79012,0.77727,0.82231,0.83172,0.38367,1.80264,1.1601,2.49505,0.0018812,0.0018812,0.0018812
32,405.997,1.44501,1.27341,1.78661,0.86676,0.8225,0.862,0.37942,1.8196,1.01136,2.54977,0.00187724,0.00187724,0.00187724
33,418.385,1.47014,1.25989,1.77609,0.84869,0.83908,0.8719,0.44342,1.69076,1.0628,2.35604,0.00187328,0.00187328,0.00187328
34,430.813,1.45695,1.27622,1.78001,0.50071,0.41379,0.4022,0.14476,2.44955,2.21271,3.51444,0.00186932,0.00186932,0.00186932
35,443.12,1.45867,1.28625,1.78073,0.73381,0.66543,0.69151,0.30621,2.03403,1.48202,2.86417,0.00186536,0.00186536,0.00186536
36,455.56,1.45741,1.29463,1.78845,0.8759,0.76437,0.84969,0.43154,1.73665,1.05536,2.47018,0.0018614,0.0018614,0.0018614
37,468.127,1.4045,1.24753,1.75181,0.82377,0.77908,0.77531,0.34951,1.85273,1.22325,2.61632,0.00185744,0.00185744,0.00185744
38,480.747,1.45696,1.22248,1.78513,0.91007,0.77586,0.88533,0.4352,1.77058,0.9619,2.49446,0.00185348,0.00185348,0.00185348
39,493.312,1.41821,1.24875,1.74696,0.88061,0.83908,0.87339,0.43323,1.718,0.90339,2.45293,0.00184952,0.00184952,0.00184952
40,505.954,1.43035,1.22897,1.74668,0.80956,0.81034,0.83424,0.36973,1.93396,1.12465,2.66364,0.00184556,0.00184556,0.00184556
41,518.348,1.40991,1.26774,1.74137,0.76127,0.7931,0.79581,0.40443,1.72689,1.09234,2.41245,0.0018416,0.0018416,0.0018416
42,530.743,1.4432,1.24152,1.76448,0.96294,0.81034,0.91805,0.4647,1.68991,0.85278,2.40408,0.00183764,0.00183764,0.00183764
43,543.266,1.45377,1.28279,1.77718,0.83338,0.67816,0.76238,0.28405,2.13998,1.5127,2.94296,0.00183368,0.00183368,0.00183368
44,555.635,1.41806,1.23397,1.76007,0.85589,0.79885,0.8646,0.42222,1.71718,1.07024,2.4241,0.00182972,0.00182972,0.00182972
45,568.001,1.39689,1.23159,1.71775,0.8476,0.85057,0.90035,0.44683,1.72556,0.90289,2.39946,0.00182576,0.00182576,0.00182576
46,580.561,1.39339,1.19854,1.72999,0.77262,0.76161,0.76887,0.33298,1.97557,1.02597,2.78887,0.0018218,0.0018218,0.0018218
47,593.037,1.39637,1.18527,1.73034,0.84895,0.87212,0.91594,0.4828,1.69464,0.90537,2.35202,0.00181784,0.00181784,0.00181784
48,605.574,1.41888,1.21028,1.75709,0.87965,0.88213,0.89648,0.47519,1.62589,0.87892,2.34694,0.00181388,0.00181388,0.00181388
49,617.771,1.39327,1.20652,1.73685,0.66618,0.58621,0.61725,0.23522,2.18101,1.82859,3.04969,0.00180992,0.00180992,0.00180992
